CellCenters:0,CellCenters:1,CellCenters:2
0.05,0.5,242.46
0.05,0.5,242.41
0.05,0.5,242.36
0.05,0.5,242.31
0.05,0.5,242.26
0.05,0.5,242.21
0.05,0.5,242.16
0.05,0.5,242.11
0.05,0.5,242.06
0.05,0.5,242.01
0.05,0.5,241.96
0.05,0.5,241.91
0.05,0.5,241.86
0.05,0.5,241.81
0.05,0.5,241.76
0.05,0.5,241.71
0.05,0.5,241.66
0.05,0.5,241.61
0.05,0.5,241.56
0.05,0.5,241.51
0.05,0.5,241.46
0.05,0.5,241.41
0.05,0.5,241.36
0.05,0.5,241.31
0.05,0.5,241.26
0.05,0.5,241.21
0.05,0.5,241.16
0.05,0.5,241.11
0.05,0.5,241.06
0.05,0.5,241.01
0.05,0.5,240.96
0.05,0.5,240.91
0.05,0.5,240.86
0.05,0.5,240.81
0.05,0.5,240.76
0.05,0.5,240.71
0.05,0.5,240.66
0.05,0.5,240.61
0.05,0.5,240.56
0.05,0.5,240.51
0.05,0.5,240.33
0.05,0.5,239.78
0.05,0.5,238.73
0.05,0.5,237.18
0.05,0.5,235.13
0.05,0.5,232.58
0.05,0.5,229.53
0.05,0.5,225.98
0.15,0.5,242.44
0.15,0.5,242.39
0.15,0.5,242.34
0.15,0.5,242.29
0.15,0.5,242.24
0.15,0.5,242.19
0.15,0.5,242.14
0.15,0.5,242.09
0.15,0.5,242.04
0.15,0.5,241.99
0.15,0.5,241.94
0.15,0.5,241.89
0.15,0.5,241.84
0.15,0.5,241.79
0.15,0.5,241.74
0.15,0.5,241.69
0.15,0.5,241.64
0.15,0.5,241.59
0.15,0.5,241.54
0.15,0.5,241.49
0.15,0.5,241.44
0.15,0.5,241.39
0.15,0.5,241.34
0.15,0.5,241.29
0.15,0.5,241.24
0.15,0.5,241.19
0.15,0.5,241.14
0.15,0.5,241.09
0.15,0.5,241.04
0.15,0.5,240.99
0.15,0.5,240.94
0.15,0.5,240.89
0.15,0.5,240.84
0.15,0.5,240.79
0.15,0.5,240.74
0.15,0.5,240.69
0.25,0.5,242.42
0.25,0.5,242.37
0.25,0.5,242.32
0.25,0.5,242.27
0.25,0.5,242.22
0.25,0.5,242.17
0.25,0.5,242.12
0.25,0.5,242.07
0.25,0.5,242.02
0.25,0.5,241.97
0.25,0.5,241.92
0.25,0.5,241.87
0.25,0.5,241.82
0.25,0.5,241.77
0.25,0.5,241.72
0.25,0.5,241.67
0.25,0.5,241.62
0.25,0.5,241.57
0.25,0.5,241.52
0.25,0.5,241.47
0.25,0.5,241.42
0.25,0.5,241.37
0.25,0.5,241.32
0.25,0.5,241.27
0.25,0.5,241.22
0.25,0.5,241.17
0.25,0.5,241.12
0.25,0.5,241.07
0.25,0.5,241.02
0.25,0.5,240.97
0.25,0.5,240.92
0.25,0.5,240.87
0.25,0.5,240.82
0.25,0.5,240.77
0.25,0.5,240.72
0.25,0.5,240.67
0.15,0.5,240.64
0.15,0.5,240.59
0.15,0.5,240.54
0.15,0.5,240.49
0.15,0.5,240.31
0.15,0.5,239.76
0.15,0.5,238.71
0.15,0.5,237.16
0.15,0.5,235.11
0.15,0.5,232.56
0.15,0.5,229.51
