x,y
0,238.82
0.235619887,238.82
0.471268882,238.82
0.706917881,238.82
0.942428498,238.82
1.178077493,239.1839
1.413726492,239.189
1.649346375,239.1942
1.884995374,239.1993
2.120560605,239.2045
2.356071221,239.2097
2.59172022,239.215
2.827369215,239.2202
3.063072845,239.2255
3.298638078,239.2308
3.534287077,239.2362
3.769881475,239.2415
4.005446708,239.2469
4.241150338,239.2523
4.476799333,239.2577
4.71236457,239.2632
4.948013565,239.2686
5.183607963,239.2741
5.4191732,239.2797
5.654876826,239.2852
5.890525825,239.2908
6.126007308,239.2963
6.361656307,239.302
6.597359933,239.3076
6.832954331,239.3132
7.068519568,239.3189
7.304168563,239.3246
7.539817562,239.3304
7.775437445,239.3361
8.011086444,239.3419
8.246680842,239.3477
8.482246075,239.3535
8.717895074,239.3593
8.953544073,239.3652
9.189163956,239.3711
9.424812955,239.377
