"Points:0","Points:1","Points:2"
0.25,0.5,238.79501
0.25,0.5,238.745
0.25,0.5,238.695
0.25,0.5,238.645
0.25,0.5,238.595
0.25,0.5,238.54501
0.25,0.5,238.495
0.25,0.5,238.445
0.25,0.5,238.395
0.25,0.5,238.345
0.25,0.5,238.29501
0.25,0.5,238.245
0.25,0.5,238.195
0.25,0.5,238.145
0.25,0.5,238.095
0.25,0.5,238.04501
0.25,0.5,237.995
0.25,0.5,237.945
0.25,0.5,237.895
0.25,0.5,237.845
0.25,0.5,237.79501
0.25,0.5,237.745
0.25,0.5,237.695
0.25,0.5,237.645
0.25,0.5,237.595
0.25,0.5,237.54501
0.25,0.5,237.495
0.25,0.5,237.445
0.25,0.5,237.395
0.25,0.5,237.345
0.25,0.5,237.29501
0.25,0.5,237.245
0.25,0.5,237.195
0.25,0.5,237.145
0.25,0.5,237.095
0.25,0.5,237.04501
0.75,0.5,238.83945
0.75,0.5,238.78945
0.75,0.5,238.73945
0.75,0.5,238.68945
0.75,0.5,238.63945
0.75,0.5,238.58945
0.75,0.5,238.53945
0.75,0.5,238.48945
0.75,0.5,238.43945
0.75,0.5,238.38945
0.75,0.5,238.33945
0.75,0.5,238.28945
0.75,0.5,238.23945
0.75,0.5,238.18945
0.75,0.5,238.13945
0.75,0.5,238.08945
0.75,0.5,238.03945
0.75,0.5,237.98945
0.75,0.5,237.93945
0.75,0.5,237.88945
0.75,0.5,237.83945
0.75,0.5,237.78945
0.75,0.5,237.73945
0.75,0.5,237.68945
0.75,0.5,237.63945
0.75,0.5,237.58945
0.75,0.5,237.53945
0.75,0.5,237.48945
0.75,0.5,237.43945
0.75,0.5,237.38945
0.75,0.5,237.33945
0.75,0.5,237.28945
0.75,0.5,237.23945
0.75,0.5,237.18945
0.75,0.5,237.13945
0.75,0.5,237.08945
1.25,0.5,239.02819
1.25,0.5,238.97819
1.25,0.5,238.92819
1.25,0.5,238.87819
1.25,0.5,238.82819
1.25,0.5,238.77819
1.25,0.5,238.72819
1.25,0.5,238.67819
1.25,0.5,238.62819
1.25,0.5,238.57819
1.25,0.5,238.52819
1.25,0.5,238.47819
1.25,0.5,238.42819
1.25,0.5,238.37819
1.25,0.5,238.32819
1.25,0.5,238.27819
1.25,0.5,238.22819
1.25,0.5,238.17819
1.25,0.5,238.12819
1.25,0.5,238.07819
1.25,0.5,238.02819
1.25,0.5,237.97819
1.25,0.5,237.92819
1.25,0.5,237.87819
1.25,0.5,237.82819
1.25,0.5,237.77819
1.25,0.5,237.72819
1.25,0.5,237.67819
1.25,0.5,237.62819
1.25,0.5,237.57819
1.25,0.5,237.52819
1.25,0.5,237.47819
1.25,0.5,237.42819
1.25,0.5,237.37819
1.25,0.5,237.32819
1.25,0.5,237.27819
1.75,0.5,239.18302
1.75,0.5,239.13302
1.75,0.5,239.08302
1.75,0.5,239.03302
1.75,0.5,238.98302
1.75,0.5,238.93302
1.75,0.5,238.88302
1.75,0.5,238.83302
1.75,0.5,238.78302
1.75,0.5,238.73302
1.75,0.5,238.68302
1.75,0.5,238.63302
1.75,0.5,238.58302
1.75,0.5,238.53302
1.75,0.5,238.48302
1.75,0.5,238.43302
1.75,0.5,238.38302
1.75,0.5,238.33302
1.75,0.5,238.28302
1.75,0.5,238.23302
1.75,0.5,238.18302
1.75,0.5,238.13302
1.75,0.5,238.08302
1.75,0.5,238.03302
1.75,0.5,237.98302
1.75,0.5,237.93302
1.75,0.5,237.88302
1.75,0.5,237.83302
1.75,0.5,237.78302
1.75,0.5,237.73302
1.75,0.5,237.68302
1.75,0.5,237.63302
1.75,0.5,237.58302
1.75,0.5,237.53302
1.75,0.5,237.48302
1.75,0.5,237.43302
